clean_name,year,total_spending,total_claims,manufacturer_count,first_generic_year,cost_per_claim,generic_imminent,monopoly_risk,revenue_share,risk_score
fanapt,2023,76638973.31,55902.0,1,,1370.9522612786664,0,1.0,0.00042829093732535666,0.40856581874650716
ocaliva,2023,76412499.07,10617.0,1,,7197.183674295939,0,1.0,0.0004270253036622163,0.4085405060732443
lipitor,2023,76245720.53,86744.0,1,,878.97399854745,0,1.0,0.000426093274772249,0.408521865495445
octagam,2023,76012875.49,5918.0,1,,12844.352059817506,0,1.0,0.0004247920383891652,0.40849584076778334
restasis multidose,2023,75324014.07,97373.0,1,,773.5616040380803,0,1.0,0.00042094238995943366,0.4084188477991887
lotemax,2023,74287981.58,292148.0,1,,254.28201315771457,0,1.0,0.00041515260302626603,0.40830305206052536
briviact,2023,72782257.77,56221.0,1,,1294.5742297362194,0,1.0,0.00040673798270861804,0.4081347596541724
exelon,2023,72453108.41,95086.0,1,,761.9745116000252,0,1.0,0.0004048985571288387,0.4080979711425768
simbrinza,2023,71916108.96,348421.0,1,,206.4057819706619,0,1.0,0.0004018975774986263,0.4080379515499725
stribild,2023,70919383.87,20544.0,1,,3452.0728129867603,0,1.0,0.00039632745691095794,0.4079265491382192
benlysta,2023,70896154.93,18823.0,1,,3766.46416246082,0,1.0,0.00039619764378773887,0.4079239528757548
belbuca,2023,68648441.96,130068.0,1,,527.7888639788417,0,1.0,0.0003836364748004443,0.4076727294960089
relistor,2023,68503455.57,39510.0,1,,1733.8257547456337,0,1.0,0.0003828262296446103,0.40765652459289226
bevespi aerosphere,2023,68060651.08,154763.0,1,,439.77340242822896,0,1.0,0.0003803516512169107,0.40760703302433826
radicava,2023,67589596.66,6104.0,1,,11073.000763433813,0,1.0,0.0003777192002541741,0.4075543840050835
prolensa,2023,67257265.72,237642.0,1,,283.019271509245,0,1.0,0.00037586199466219566,0.40751723989324395
wellbutrin xl,2023,66960905.03,24339.0,1,,2751.17732979991,0,1.0,0.00037420580601268093,0.40748411612025365
xalkori,2023,66842556.26,4247.0,1,,15738.770016482222,0,1.0,0.0003735444231229392,0.4074708884624588
humulin r,2023,66232553.69,316854.0,1,,209.03177390848782,0,1.0,0.00037013547123863617,0.40740270942477275
arnuity ellipta,2023,65506399.94,256529.0,1,,255.35670407634223,0,1.0,0.00036607741752526206,0.40732154835050527
ocrevus,2023,65091202.31,2047.0,1,,31798.34016121153,0,1.0,0.0003637571178859562,0.40727514235771917
haegarda,2023,63585462.53,1955.0,1,,32524.53326342711,0,1.0,0.0003553424083212062,0.4071068481664242
byetta,2023,61401577.13,52880.0,1,,1161.1493405824508,0,1.0,0.00034313793474098517,0.40686275869481975
samsca,2023,61373563.88,5627.0,1,,10906.977764350453,0,1.0,0.0003429813848737068,0.40685962769747414
rituxan,2023,61319491.32,5272.0,1,,11631.162996965099,0,1.0,0.0003426792045807597,0.4068535840916152
glatopa,2023,61108124.71,16196.0,1,,3773.0380779204743,0,1.0,0.0003414979987320069,0.40682995997464017
plegridy pen,2023,60993199.48,7268.0,1,,8392.019741331866,0,1.0,0.00034085574802909184,0.40681711496058187
rubraca,2023,60238183.12,4302.0,1,,14002.367066480707,0,1.0,0.0003366363978661874,0.4067327279573238
viberzi,2023,60076483.3,43681.0,1,,1375.3458780705569,0,1.0,0.0003357327510076496,0.406714655020153
serevent diskus,2023,59902599.17,109984.0,1,,544.6483049352634,0,1.0,0.0003347610130810145,0.4066952202616203
firdapse,2023,59859319.81,1702.0,1,,35169.988137485314,0,1.0,0.0003345191497462036,0.4066903829949241
crestor,2023,59381119.74,120530.0,1,,492.6667198207915,0,1.0,0.0003318467658746072,0.4066369353174922
savella,2023,58559056.39,108133.0,1,,541.5465805073381,0,1.0,0.0003272527288265354,0.40654505457653073
kalydeco,2023,58408152.67,2362.0,1,,24728.261079593565,0,1.0,0.00032640941513255816,0.4065281883026512
qvar redihaler,2023,58316805.58,209902.0,1,,277.828727596688,0,1.0,0.000325898929029883,0.4065179785805977
invokamet,2023,58119147.69,76604.0,1,,758.6959909404209,0,1.0,0.0003247943332958636,0.4064958866659173
epidiolex,2023,57641504.42,18753.0,1,,3073.7217735828935,0,1.0,0.00032212506105773,0.4064425012211546
idhifa,2023,57551678.72,2121.0,1,,27134.219104196134,0,1.0,0.000321623077124656,0.40643246154249313
ultrafine mini pen needle,2023,57454167.5,943797.0,1,,60.87555639613179,0,1.0,0.0003210781432612467,0.40642156286522496
xultophy 10036,2023,56397715.81,51090.0,1,,1103.889524564494,0,1.0,0.0003151742452181604,0.40630348490436324
ultrafine short pen needle,2023,56357615.39,920424.0,1,,61.23005852737434,0,1.0,0.00031495014714211396,0.4062990029428423
botox,2023,55918448.97,43026.0,1,,1299.643215032771,0,1.0,0.0003124958997854485,0.406249917995709
kombiglyze,2023,55583327.07,80163.0,1,,693.3788290108903,0,1.0,0.000310623097130738,0.4062124619426148
neulasta,2023,55519659.99,7188.0,1,,7723.937116026712,0,1.0,0.0003102672986095383,0.40620534597219077
novolog flexpen,2023,1843976249.2,2453993.0,2,,751.4187078773249,0,0.5,0.010304917747019379,0.4060983549403876
glyxambi,2023,54326319.24,61913.0,1,,877.4622331335908,0,1.0,0.00030359840670908587,0.4060719681341817
humulin n kwikpen,2023,54296023.02,121091.0,1,,448.3902438661833,0,1.0,0.0003034290986416522,0.4060685819728331
topamax,2023,54196437.14,33925.0,1,,1597.5368353721444,0,1.0,0.00030287257070230934,0.4060574514140462
sandostatin lar depot,2023,54164192.08,9001.0,1,,6017.57494500611,0,1.0,0.0003026923716942191,0.4060538474338844
gilotrif,2023,54054071.04,6008.0,1,,8997.015818908123,0,1.0,0.0003020769688331961,0.40604153937666393
percocet,2023,53461798.73,22252.0,1,,2402.561510426029,0,1.0,0.0002987671011269091,0.4059753420225382
estrace,2023,52952973.96,157686.0,1,,335.81277957459764,0,1.0,0.00029592357350296557,0.4059184714700593
cartia xt,2023,52804004.83,1495269.0,1,,35.314050401633416,0,1.0,0.0002950910711146289,0.4059018214222926
xigduo,2023,52774024.55,72624.0,1,,726.6747156587354,0,1.0,0.0002949235286532948,0.40589847057306594
complera,2023,51900423.54,17383.0,1,,2985.7000253120864,0,1.0,0.00029004147740362786,0.40580082954807256
narcan,2023,51287845.86,390602.0,1,,131.30461661742643,0,1.0,0.00028661813471751756,0.40573236269435037
glassia,2023,50140457.28,4763.0,1,,10527.074801595632,0,1.0,0.0002802060429425291,0.4056041208588506
sofosbuvirvelpatasvir,2023,49550573.25,6054.0,1,,8184.765981169475,0,1.0,0.0002769095219531359,0.40553819043906275
aranesp,2023,49300464.44,27669.0,1,,1781.79422602913,0,1.0,0.0002755118083350928,0.4055102361667019
trokendi,2023,48953557.56,42564.0,1,,1150.1164730758387,0,1.0,0.0002735731462369091,0.4054714629247382
nucala,2023,48865678.96,14193.0,1,,3442.9422222222224,0,1.0,0.00027308204352063703,0.40546164087041275
cosentyx 2 syringes,2023,48271340.08,7082.0,1,,6816.060446201638,0,1.0,0.0002697606269487518,0.40539521253897504
onfi,2023,48062526.92,28243.0,1,,1701.750059129696,0,1.0,0.00026859369085658214,0.4053718738171317
selzentry,2023,47461983.93,26250.0,1,,1808.0755782857143,0,1.0,0.00026523760309884445,0.4053047520619769
ravicti,2023,47351936.11,601.0,1,,78788.57921797005,0,1.0,0.0002646226094220925,0.4052924521884419
trikafta,2023,46671715.51,1845.0,1,,25296.322769647697,0,1.0,0.0002608212495423927,0.40521642499084787
glumetza,2023,46632697.81,5722.0,1,,8149.719994757078,0,1.0,0.00026060320216279533,0.40521206404325594
piqray,2023,46037291.04,2915.0,1,,15793.238778730703,0,1.0,0.00025727581777076187,0.40514551635541524
rayaldee,2023,45863705.84,34111.0,1,,1344.5429873061478,0,1.0,0.00025630575039116524,0.4051261150078233
kevzara,2023,45739165.17,12500.0,1,,3659.1332136,0,1.0,0.0002556097645502058,0.4051121952910041
duexis,2023,45095402.55,18312.0,1,,2462.614818152031,0,1.0,0.0002520121472541133,0.4050402429450823
